seqnames	start	end	width	strand	gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	control_mean_psi	tdp43kd_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	lsv_junc	ir_start	ir_end	paste_into_igv_junction	junc_dist	strand_start	transcript_id_start	exon_name_start	exon_rank_start	gene_id_start	strand_end	transcript_id_end	exon_name_end	exon_rank_end	gene_id_end	gene_id_junc	junc_in_ref	junc_cat
chr9	76068044	76071725	3682	+	PCSK5	ENSG00000099139.14	ENSG00000099139.14:s:76067955-76068043	0.1092	0.5415	0.05517	0.0383	0.1784	s|1e1.1o1|i	2	2	1	ENSG00000099139.14:s:76067955-76068043_76068044-76071725	NA	NA	chr9:76068044-76071725	3681												FALSE	none
chr22	17702386	17722274	19889	+	BCL2L13	ENSG00000099968.18	ENSG00000099968.18:s:17702243-17703733	0.2111	0.9996	6.943e-11	0.0041	0.2301	s|1e1.1o1|1e2.1o2|i	3	3	1	ENSG00000099968.18:s:17702243-17703733_17702386-17722274	17703734	17706709	chr22:17702386-17722274	19888	+	ENST00000337612.9|ENST00000418951.6|ENST00000538149.5|ENST00000543133.5|ENST00000618481.4|ENST00000498133.5|ENST00000317582.10|ENST00000399777.1	ENSE00003726246.1|ENSE00003724968.1|ENSE00003715933.1|ENSE00003503185.1|ENSE00003526121.1	4|5|3|6|2	ENSG00000099968.18						ENSG00000099968.18	FALSE	novel_acceptor
chr22	17722390	17726691	4302	+	BCL2L13	ENSG00000099968.18	ENSG00000099968.18:t:17726677-17730855	0.2122	0.9997	3.174e-12	0.0016	0.2388	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|2e6.1o1	6	7	1	ENSG00000099968.18:t:17726677-17730855_17722390-17726691	NA	NA	chr22:17722390-17726691	4301												FALSE	none
chr18	9221999	9239477	17479	+	ANKRD12	ENSG00000101745.17	ENSG00000101745.17:s:9221852-9221999	0.12	0.6592	0.03378	0.0385	0.1636	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0	ENSG00000101745.17:s:9221852-9221999_9221999-9239477	NA	NA	chr18:9221999-9239477	17478	+	ENST00000262126.9|ENST00000540578.6|ENST00000400020.7|ENST00000546007.6|ENST00000359158.7	ENSE00003585104.1|ENSE00003580572.1	8|7|6|2	ENSG00000101745.17	+	ENST00000359158.7	ENSE00001496961.4	3	ENSG00000101745.17	ENSG00000101745.17	TRUE	annotated
chr16	67843361	67847580	4220	-	CENPT	ENSG00000102901.13	ENSG00000102901.13:t:67842958-67843361	0.102	0.5358	0.06197	0.0329	0.162	t|1e1.1o2|i	2	2	1	ENSG00000102901.13:t:67842958-67843361_67843361-67847580	67843362	67846771	chr16:67843361-67847580	4219						-	ENST00000561593.5|ENST00000565114.5|ENST00000569094.5|ENST00000568652.5|ENST00000568765.5	ENSE00002583671.1|ENSE00002606738.1|ENSE00002585380.1|ENSE00002617435.1|ENSE00002611072.1	1	ENSG00000102901.13	ENSG00000102901.13	FALSE	novel_acceptor
chr7	107955630	107959691	4062	-	LAMB1	ENSG00000091136.15	ENSG00000091136.15:t:107955467-107955630	0.1155	0.5797	0.04978	0.0255	0.1518	t|1e1.1o1|1e2.1o1	2	3	0	ENSG00000091136.15:t:107955467-107955630_107955630-107959691	NA	NA	chr7:107955630-107959691	4061	-	ENST00000393561.6|ENST00000677801.1|ENST00000678698.1|ENST00000679200.1|ENST00000677485.1|ENST00000222399.11|ENST00000677101.1|ENST00000676574.1|ENST00000677144.1|ENST00000677588.1|ENST00000677793.1|ENST00000678704.1|ENST00000678892.1|ENST00000676777.1|ENST00000678232.1|ENST00000677652.1|ENST00000678346.1|ENST00000679173.1|ENST00000676920.1|ENST00000679244.1|ENST00000678266.1|ENST00000677994.1	ENSE00000715975.1|ENSE00003909012.1|ENSE00003909303.1	20|21|19	ENSG00000091136.15	-	ENST00000393561.6|ENST00000677801.1|ENST00000678698.1|ENST00000679200.1|ENST00000677485.1|ENST00000222399.11|ENST00000677101.1|ENST00000676574.1|ENST00000677144.1|ENST00000677588.1|ENST00000677793.1|ENST00000678704.1|ENST00000678892.1|ENST00000676777.1|ENST00000678232.1|ENST00000677652.1|ENST00000678346.1|ENST00000679173.1|ENST00000676920.1|ENST00000679244.1|ENST00000678266.1|ENST00000677994.1|ENST00000677734.1	ENSE00000716028.1|ENSE00003909437.1	18|19|17	ENSG00000091136.15	ENSG00000091136.15	TRUE	annotated
chr1	241510556	241511866	1311	-	FH	ENSG00000091483.8	ENSG00000091483.8:s:241511867-241512143	0.1121	0.6268	0.01394	0.0392	0.1412	s|1e1.1o2|1e1.2o2|1e2.1o1|i	4	3	1	ENSG00000091483.8:s:241511867-241512143_241510556-241511866	NA	NA	chr1:241510556-241511866	1310												FALSE	none
chr14	70978648	71009634	30987	+	PCNX1	ENSG00000100731.16	ENSG00000100731.16:t:71009634-71009868	0.1492	0.8431	0.008712	0.0228	0.1803	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0	ENSG00000100731.16:t:71009634-71009868_70978648-71009634	NA	NA	chr14:70978648-71009634	30986	+	ENST00000554879.5|ENST00000304743.7|ENST00000439984.7|ENST00000556846.1	ENSE00003567101.1|ENSE00003646539.1|ENSE00002489843.1	6|1	ENSG00000100731.16	+	ENST00000554879.5|ENST00000304743.7|ENST00000439984.7|ENST00000556846.1	ENSE00003625467.1|ENSE00003573761.1|ENSE00002445834.1	9|7|2	ENSG00000100731.16	ENSG00000100731.16	TRUE	annotated
chr20	34950154	34951724	1571	-	GSS	ENSG00000100983.12	ENSG00000100983.12:s:34951482-34951762	0.1209	0.6774	0.02068	8e-04	0.1445	s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1	4	4	0	ENSG00000100983.12:s:34951482-34951762_34950154-34951724	NA	NA	chr20:34950154-34951724	1570	-	ENST00000643628.1	ENSE00003822249.1	3	ENSG00000100983.12	-	ENST00000651619.1|ENST00000646735.1|ENST00000646405.1|ENST00000645723.1|ENST00000643908.1|ENST00000642498.1|ENST00000644793.1|ENST00000643188.1|ENST00000646512.1|ENST00000643443.1|ENST00000451957.2|ENST00000642538.1|ENST00000642493.1|ENST00000646502.1|ENST00000646766.1|ENST00000643271.1|ENST00000644197.1|ENST00000645102.1|ENST00000643628.1	ENSE00000860151.3|ENSE00003825874.1|ENSE00003814822.1|ENSE00002281513.1|ENSE00003818663.1	2|1|3	ENSG00000100983.12	ENSG00000100983.12	TRUE	annotated
chr20	34946098	34950051	3954	-	GSS	ENSG00000100983.12	ENSG00000100983.12:t:34945953-34946098	0.1361	0.7916	0.00726	7e-04	0.1648	t|1e2.1o1|1e3.1o1|1e4.1o1|2e1.1o1|2e2.1o1	5	5	1	ENSG00000100983.12:t:34945953-34946098_34946098-34950051	NA	NA	chr20:34946098-34950051	3953	-	ENST00000651619.1|ENST00000646735.1|ENST00000646405.1|ENST00000645723.1|ENST00000643908.1|ENST00000642498.1|ENST00000644793.1|ENST00000643188.1|ENST00000646512.1|ENST00000644538.1|ENST00000451957.2|ENST00000642538.1|ENST00000646497.1|ENST00000646502.1|ENST00000646766.1|ENST00000643271.1|ENST00000644197.1|ENST00000645102.1	ENSE00003505856.1|ENSE00003817629.1	3|2|4	ENSG00000100983.12						ENSG00000100983.12	FALSE	novel_donor
chr20	25407895	25425211	17317	+	GINS1	ENSG00000101003.12	ENSG00000101003.12:s:25407611-25407895	0.1025	0.4952	0.07546	0.0212	0.1576	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1	6	7	0	ENSG00000101003.12:s:25407611-25407895_25407895-25425211	NA	NA	chr20:25407895-25425211	17316	+	ENST00000696806.1|ENST00000262460.5|ENST00000696798.1|ENST00000696862.1|ENST00000696870.1|ENST00000696874.1|ENST00000696807.1|ENST00000696804.1|ENST00000696805.1|ENST00000696894.1|ENST00000696875.1|ENST00000696876.1|ENST00000696877.1|ENST00000696793.1|ENST00000696813.1|ENST00000696878.1|ENST00000696814.1|ENST00000484893.2|ENST00000696895.1|ENST00000696803.1	ENSE00003968462.1|ENSE00001825970.2|ENSE00003968392.1|ENSE00003968681.1|ENSE00003968722.1|ENSE00003968465.1|ENSE00003968456.1|ENSE00003968455.1|ENSE00003968805.1|ENSE00003968740.1|ENSE00003968742.1|ENSE00003968745.1|ENSE00003968374.1|ENSE00001815072.1|ENSE00003968799.1|ENSE00003968447.1	1	ENSG00000101003.12	+	ENST00000696810.1|ENST00000696806.1|ENST00000262460.5|ENST00000696862.1|ENST00000696870.1|ENST00000696874.1|ENST00000696807.1|ENST00000696805.1|ENST00000696894.1|ENST00000696793.1|ENST00000696813.1|ENST00000696878.1|ENST00000696814.1|ENST00000484893.2|ENST00000696895.1|ENST00000696803.1|ENST00000696896.1	ENSE00003659236.1|ENSE00003968719.1|ENSE00003968457.1|ENSE00003968540.1|ENSE00003968450.1	4|2|5|6	ENSG00000101003.12	ENSG00000101003.12	TRUE	annotated
chr20	25411286	25413790	2505	+	GINS1	ENSG00000101003.12	ENSG00000101003.12:t:25413457-25413933	0.1608	0.7791	0.01621	0.0116	0.2181	t|1e1.1o1|1e2.1o1	2	3	0	ENSG00000101003.12:t:25413457-25413933_25411286-25413790	NA	NA	chr20:25411286-25413790	2504	+	ENST00000696813.1|ENST00000484893.2	ENSE00003968542.1	2	ENSG00000101003.12	+	ENST00000262460.5|ENST00000696798.1|ENST00000696870.1|ENST00000696874.1|ENST00000696804.1|ENST00000696894.1|ENST00000696876.1|ENST00000696793.1|ENST00000696813.1|ENST00000696814.1|ENST00000484893.2	ENSE00003469730.1|ENSE00001817099.2|ENSE00003968544.1|ENSE00003626707.1	2|3	ENSG00000101003.12	ENSG00000101003.12	TRUE	annotated
chr20	38037534	38040435	2902	+	RPRD1B	ENSG00000101413.12	ENSG00000101413.12:t:38040435-38040564	0.1286	0.7038	0.02492	0.0486	0.1772	t|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000101413.12:t:38040435-38040564_38037534-38040435	NA	NA	chr20:38037534-38040435	2901						+	ENST00000373433.9|ENST00000495457.1	ENSE00000661915.1	2	ENSG00000101413.12	ENSG00000101413.12	FALSE	novel_donor
chr18	80133192	80133692	501	+	ADNP2	ENSG00000101544.9	ENSG00000101544.9:s:80133103-80133192	0.3344	1	3.435e-14	0.0181	0.3527	s|1e1.1o1|1e2.1o1	2	3	0	ENSG00000101544.9:s:80133103-80133192_80133192-80133692	NA	NA	chr18:80133192-80133692	500	+	ENST00000262198.9|ENST00000560752.5|ENST00000559951.5|ENST00000560561.1	ENSE00002936676.1	3|2	ENSG00000101544.9	+	ENST00000560561.1	ENSE00002558010.1	3	ENSG00000101544.9	ENSG00000101544.9	TRUE	annotated
chr18	80133806	80135612	1807	+	ADNP2	ENSG00000101544.9	ENSG00000101544.9:t:80135612-80140346	0.4022	1	8.194e-20	0.0217	0.424	t|1e1.1o1|1e2.1o1	2	3	0	ENSG00000101544.9:t:80135612-80140346_80133806-80135612	NA	NA	chr18:80133806-80135612	1806	+	ENST00000560561.1	ENSE00002558010.1	3	ENSG00000101544.9	+	ENST00000262198.9|ENST00000560752.5|ENST00000559951.5|ENST00000560561.1	ENSE00001305079.7|ENSE00002543321.1|ENSE00002563984.1|ENSE00002548252.1	4	ENSG00000101544.9	ENSG00000101544.9	TRUE	annotated
chr16	49640505	49730771	90267	-	ZNF423	ENSG00000102935.12	ENSG00000102935.12:s:49730576-49730971	0.4109	1	2.072e-20	0.0014	0.4306	s|1e1.1o1|1e2.1o1	2	3	1	ENSG00000102935.12:s:49730576-49730971_49640505-49730771	NA	NA	chr16:49640505-49730771	90266						-	ENST00000561648.5|ENST00000563137.7|ENST00000562871.5|ENST00000562520.1	ENSE00003571874.1|ENSE00003561848.1	4|3|2	ENSG00000102935.12	ENSG00000102935.12	FALSE	novel_acceptor
chr16	49638874	49640443	1570	-	ZNF423	ENSG00000102935.12	ENSG00000102935.12:t:49635660-49638874	0.4559	1	1.921e-20	7e-04	0.4686	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	1	ENSG00000102935.12:t:49635660-49638874_49638874-49640443	NA	NA	chr16:49638874-49640443	1569	-	ENST00000561648.5|ENST00000563137.7|ENST00000562871.5|ENST00000535559.5|ENST00000567169.5|ENST00000562520.1	ENSE00003650454.1|ENSE00003551182.1	5|4|3|2	ENSG00000102935.12						ENSG00000102935.12	FALSE	novel_donor
chr16	88735536	88736148	613	-	PIEZO1	ENSG00000103335.22	ENSG00000103335.22:s:88736148-88736408	0.2655	0.9999	2.5e-09	0.003	0.2929	s|1e1.1o1|1e2.1o1	2	3	1	ENSG00000103335.22:s:88736148-88736408_88735536-88736148	NA	NA	chr16:88735536-88736148	612						-	ENST00000301015.14	ENSE00001291928.6	12	ENSG00000103335.22	ENSG00000103335.22	FALSE	novel_acceptor
chr16	88735246	88735445	200	-	PIEZO1	ENSG00000103335.22	ENSG00000103335.22:t:88735135-88735246	0.2234	0.9875	3.475e-05	0.003	0.249	t|1e1.1o1|1e2.1o1	2	3	1	ENSG00000103335.22:t:88735135-88735246_88735246-88735445	NA	NA	chr16:88735246-88735445	199	-	ENST00000301015.14	ENSE00001314842.1	13	ENSG00000103335.22						ENSG00000103335.22	FALSE	novel_donor
chr19	47271672	47272069	398	+	CCDC9	ENSG00000105321.14	ENSG00000105321.14:s:47271274-47271953	0.1483	0.8458	0.004705	0.0044	0.1815	s|1e1.1o1|2e1.1o1	2	2	1	ENSG00000105321.14:s:47271274-47271953_47271672-47272069	NA	NA	chr19:47271672-47272069	397						+	ENST00000643617.1	ENSE00003823378.1	13	ENSG00000105321.14	ENSG00000105321.14	FALSE	novel_donor
chr17	50170666	50173230	2565	+	SGCA	ENSG00000108823.17	ENSG00000108823.17:t:50173230-50173382	0.2955	1	7.785e-12	0.0102	0.3163	t|1e1.1o1|i	2	2	1	ENSG00000108823.17:t:50173230-50173382_50170666-50173230	50172433	50173229	chr17:50170666-50173230	2564	+	ENST00000513942.5|ENST00000513821.5|ENST00000262018.8|ENST00000344627.10|ENST00000683294.1|ENST00000512526.2|ENST00000682109.1|ENST00000504073.2|ENST00000511303.6|ENST00000683226.1|ENST00000683544.1	ENSE00003616324.1|ENSE00003633256.1|ENSE00003549815.1|ENSE00003918933.1	4|7|8|6|5|1	ENSG00000108823.17						ENSG00000108823.17	FALSE	novel_acceptor
chr8	79611214	79616822	5609	+	STMN2	ENSG00000104435.14	ENSG00000104435.14:s:79611117-79611214	0.2415	1	2.656e-20	0.0026	0.261	s|1e1.1o1|1e2.1o1	2	3	1	ENSG00000104435.14:s:79611117-79611214_79611214-79616822	NA	NA	chr8:79611214-79616822	5608	+	ENST00000220876.12|ENST00000518111.5	ENSE00002093744.2|ENSE00001538470.2	1	ENSG00000104435.14						ENSG00000104435.14	FALSE	novel_acceptor
chr19	4007787	4011560	3774	+	PIAS4	ENSG00000105229.7	ENSG00000105229.7:s:4007736-4007787	0.1887	0.988	3.339e-06	0.0015	0.2123	s|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000105229.7:s:4007736-4007787_4007787-4011560	4007788	4011559	chr19:4007787-4011560	3773	+	ENST00000262971.3|ENST00000599999.5|ENST00000600566.5|ENST00000593518.1	ENSE00003128359.2|ENSE00001052305.2|ENSE00003066635.1|ENSE00003131765.1	1	ENSG00000105229.7						ENSG00000105229.7	FALSE	novel_acceptor
chr19	4011633	4012923	1291	+	PIAS4	ENSG00000105229.7	ENSG00000105229.7:t:4012923-4013349	0.1933	0.9744	0.0001441	0.0015	0.2197	t|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000105229.7:t:4012923-4013349_4011633-4012923	NA	NA	chr19:4011633-4012923	1290						+	ENST00000262971.3|ENST00000599999.5|ENST00000600566.5|ENST00000593518.1	ENSE00003483786.1|ENSE00003635439.1	2	ENSG00000105229.7	ENSG00000105229.7	FALSE	novel_donor
chr7	123684580	123692347	7768	-	WASL	ENSG00000106299.8	ENSG00000106299.8:s:123692347-123692867	0.3634	1	2.247e-20	8e-04	0.3791	s|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000106299.8:s:123692347-123692867_123684580-123692347	NA	NA	chr7:123684580-123692347	7767	-	ENST00000223023.5	ENSE00001188527.6	11	ENSG00000106299.8	-	ENST00000223023.5	ENSE00002488854.1	9	ENSG00000106299.8	ENSG00000106299.8	FALSE	novel_exon_skip
chr7	123684580	123692347	7768	-	WASL	ENSG00000106299.8	ENSG00000106299.8:t:123681943-123684580	0.3899	1	2.157e-20	7e-04	0.4053	t|1e1.1o1|1e2.1o2|1e2.2o2|i	4	3	1	ENSG00000106299.8:t:123681943-123684580_123684580-123692347	123684581	123688996	chr7:123684580-123692347	7767	-	ENST00000223023.5	ENSE00001188527.6	11	ENSG00000106299.8	-	ENST00000223023.5	ENSE00002488854.1	9	ENSG00000106299.8	ENSG00000106299.8	FALSE	novel_exon_skip
chr9	76638288	76641790	3503	-	PRUNE2	ENSG00000106772.19	ENSG00000106772.19:t:76638186-76638288	0.1361	0.8442	6.776e-09	0.0038	0.1573	t|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3|i	5	3	1	ENSG00000106772.19:t:76638186-76638288_76638288-76641790	NA	NA	chr9:76638288-76641790	3502	-	ENST00000376717.6|ENST00000466266.6|ENST00000376718.8|ENST00000428286.5|ENST00000443509.6|ENST00000426088.5|ENST00000424866.1	ENSE00003629097.1|ENSE00003693170.1	5|13|14|7|4	ENSG00000106772.19						ENSG00000106772.19	FALSE	novel_donor
chr10	121971069	121973523	2455	-	NSMCE4A	ENSG00000107672.15	ENSG00000107672.15:t:121970939-121971069	0.3161	0.9999	1.655e-07	0.0284	0.3516	t|1e2.1o1|1e3.1o1|2e1.1o1	3	4	1	ENSG00000107672.15:t:121970939-121971069_121971069-121973523	NA	NA	chr10:121971069-121973523	2454	-	ENST00000369023.8|ENST00000489266.5|ENST00000468209.5|ENST00000369017.5|ENST00000464321.5|ENST00000481320.5|ENST00000472431.1	ENSE00003544726.1|ENSE00003668051.1	3|2	ENSG00000107672.15						ENSG00000107672.15	FALSE	novel_donor
chr17	17792300	17792933	634	+	RAI1	ENSG00000108557.20	ENSG00000108557.20:t:17792933-17795776	0.2788	0.9999	2.04e-08	0.0175	0.3032	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1	ENSG00000108557.20:t:17792933-17795776_17792300-17792933	NA	NA	chr17:17792300-17792933	633						+	ENST00000353383.6|ENST00000471135.2|ENST00000395774.1	ENSE00001291642.2|ENSE00001215328.4|ENSE00001522791.1	3|4|2	ENSG00000108557.20	ENSG00000108557.20	FALSE	novel_donor
chr2	218831375	218831668	294	-	PRKAG3	ENSG00000115592.12	ENSG00000115592.12:s:218831668-218832086	0.1963	0.9977	3.359e-06	0.0091	0.2211	s|1e1.1o1|2e1.1o1|i	3	2	1	ENSG00000115592.12:s:218831668-218832086_218831375-218831668	NA	NA	chr2:218831375-218831668	293	-	ENST00000439262.7|ENST00000233944.7|ENST00000529249.5|ENST00000470307.6|ENST00000490971.1|ENST00000430489.1	ENSE00003508220.1|ENSE00003564350.1	2	ENSG00000115592.12						ENSG00000115592.12	FALSE	novel_donor
chr1	13731117	13731567	451	+	PRDM2	ENSG00000116731.23	ENSG00000116731.23:s:13731000-13731117	0.1392	0.8097	0.006885	0.0018	0.1661	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1	ENSG00000116731.23:s:13731000-13731117_13731117-13731567	NA	NA	chr1:13731117-13731567	450	+	ENST00000311066.10|ENST00000484063.6|ENST00000376048.9|ENST00000235372.11|ENST00000491134.5	ENSE00001644268.1|ENSE00001935670.1	3|1	ENSG00000116731.23						ENSG00000116731.23	FALSE	novel_acceptor
chr17	28915448	28917285	1838	-	PHF12	ENSG00000109118.14	ENSG00000109118.14:s:28917285-28917449	0.1235	0.6871	0.01868	0.0278	0.149	s|1e3.2o2|2e1.1o1|2e2.1o1|i	4	4	1	ENSG00000109118.14:s:28917285-28917449_28915448-28917285	NA	NA	chr17:28915448-28917285	1837						-	ENST00000332830.9|ENST00000577226.5|ENST00000582436.5|ENST00000582655.5|ENST00000378879.7|ENST00000268756.7|ENST00000583524.5|ENST00000584822.1	ENSE00003493615.1|ENSE00003673059.1|ENSE00003502263.1	7|6|5|3	ENSG00000109118.14	ENSG00000109118.14	FALSE	novel_acceptor
chr12	3815053	3821873	6821	-	PARP11	ENSG00000111224.14	ENSG00000111224.14:s:3821873-3822003	0.1136	0.5914	0.04718	0.039	0.1728	s|1e1.1o1|1e2.1o1|i	3	3	0	ENSG00000111224.14:s:3821873-3822003_3815053-3821873	3815054	3821872	chr12:3815053-3821873	6820	-	ENST00000453942.2	ENSE00001727421.1	7	ENSG00000111224.14	-	ENST00000416739.5|ENST00000427057.6|ENST00000458162.6|ENST00000228820.9|ENST00000447133.7|ENST00000476985.5|ENST00000453942.2	ENSE00003592772.1|ENSE00003680374.1|ENSE00001958295.1	6|5|1	ENSG00000111224.14	ENSG00000111224.14	TRUE	annotated
chr6	135036794	135039573	2780	-	HBS1L	ENSG00000112339.15	ENSG00000112339.15:t:135035857-135036794	0.1047	0.4978	0.07133	0.0071	0.1274	t|1e1.1o1|i	2	2	0	ENSG00000112339.15:t:135035857-135036794_135036794-135039573	135036795	135037810	chr6:135036794-135039573	2779	-	ENST00000367820.6	ENSE00002199807.1	5	ENSG00000112339.15	-	ENST00000367837.10|ENST00000367826.6|ENST00000314674.7|ENST00000524715.5|ENST00000529882.5|ENST00000367822.9|ENST00000367820.6|ENST00000525067.1	ENSE00000764156.1	4|3|2	ENSG00000112339.15	ENSG00000112339.15	TRUE	annotated
chr14	75868985	75882685	13701	+	TTLL5	ENSG00000119685.20	ENSG00000119685.20:t:75882685-75882902	0.2156	0.957	0.0009342	0.0269	0.2438	t|1e1.1o1|1e2.1o1	2	3	1	ENSG00000119685.20:t:75882685-75882902_75868985-75882685	NA	NA	chr14:75868985-75882685	13700						+	ENST00000298832.14|ENST00000557636.5|ENST00000556893.5|ENST00000554510.5	ENSE00000808421.1	30|31|16|15	ENSG00000119685.20	ENSG00000119685.20	FALSE	novel_donor
chr13	41262331	41263275	945	-	MTRF1	ENSG00000120662.16	ENSG00000120662.16:t:41262048-41262331	0.1377	0.7203	0.02525	0.0211	0.1862	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0	ENSG00000120662.16:t:41262048-41262331_41262331-41263275	NA	NA	chr13:41262331-41263275	944	-	ENST00000379477.5|ENST00000239852.10|ENST00000498245.1	ENSE00001481220.1|ENSE00001923152.1	2	ENSG00000120662.16	-	ENST00000379477.5	ENSE00003524633.1	1	ENSG00000120662.16	ENSG00000120662.16	TRUE	annotated
chr13	19965281	19993063	27783	+	ZMYM2	ENSG00000121741.17	ENSG00000121741.17:s:19965220-19965281	0.2762	0.9729	0.0006358	0.0329	0.3261	s|1e1.1o1|i	2	2	0	ENSG00000121741.17:s:19965220-19965281_19965281-19993063	19965282	19970024	chr13:19965281-19993063	27782	+	ENST00000620447.1	ENSE00003717673.1	2	ENSG00000121741.17	+	ENST00000382881.7|ENST00000382874.6|ENST00000610343.5|ENST00000382871.3|ENST00000620447.1	ENSE00001493657.1|ENSE00002289331.1|ENSE00003733075.1	3|4	ENSG00000121741.17	ENSG00000121741.17	TRUE	annotated
chr1	32095762	32100442	4681	+	TMEM39B	ENSG00000121775.18	ENSG00000121775.18:t:32100442-32100562	0.141	0.7143	0.02293	0.0417	0.2114	t|1e1.1o1|1e2.1o1|i	3	3	0	ENSG00000121775.18:t:32100442-32100562_32095762-32100442	NA	NA	chr1:32095762-32100442	4680	+	ENST00000476968.5	ENSE00001910425.1	9	ENSG00000121775.18	+	ENST00000487305.5|ENST00000336294.10|ENST00000441402.5|ENST00000468135.5|ENST00000476968.5	ENSE00003478583.1|ENSE00003463525.1	8|6|9|10	ENSG00000121775.18	ENSG00000121775.18	TRUE	annotated
chr1	108885578	108896317	10740	+	GPSM2	ENSG00000121957.15	ENSG00000121957.15:s:108884821-108885578	0.3595	1	2.254e-20	5e-04	0.3765	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	1	ENSG00000121957.15:s:108884821-108885578_108885578-108896317	NA	NA	chr1:108885578-108896317	10739	+	ENST00000406462.6|ENST00000675829.1|ENST00000441735.2|ENST00000435987.5|ENST00000642355.1|ENST00000675776.1|ENST00000645164.2|ENST00000264126.9|ENST00000674914.1|ENST00000643094.1|ENST00000675086.1|ENST00000676184.1|ENST00000675617.1|ENST00000675087.1|ENST00000435475.5|ENST00000446797.2|ENST00000674663.1	ENSE00001024150.3|ENSE00003900919.1|ENSE00001621718.1|ENSE00003901521.1|ENSE00003903100.1|ENSE00003903372.1	3|2|1	ENSG00000121957.15						ENSG00000121957.15	FALSE	novel_acceptor
chr1	108896431	108896864	434	+	GPSM2	ENSG00000121957.15	ENSG00000121957.15:t:108896864-108897086	0.3416	1	2.321e-20	3e-04	0.3552	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|i	5	5	1	ENSG00000121957.15:t:108896864-108897086_108896431-108896864	NA	NA	chr1:108896431-108896864	433						+	ENST00000406462.6|ENST00000675829.1|ENST00000441735.2|ENST00000435987.5|ENST00000642355.1|ENST00000675776.1|ENST00000645164.2|ENST00000264126.9|ENST00000676404.1|ENST00000674914.1|ENST00000674731.1|ENST00000643094.1|ENST00000674700.1|ENST00000675086.1|ENST00000676184.1|ENST00000675617.1|ENST00000675087.1|ENST00000435475.5|ENST00000446797.2	ENSE00002221677.1|ENSE00003829289.2|ENSE00002274719.2|ENSE00003814556.1|ENSE00001727187.1	4|3|2|5	ENSG00000121957.15	ENSG00000121957.15	FALSE	novel_donor
chr6	83019136	83022479	3344	-	UBE3D	ENSG00000118420.17	ENSG00000118420.17:s:83022453-83022561	0.1028	0.5206	0.06641	0.0242	0.1429	s|1e1.1o1|2e1.1o1	2	2	0	ENSG00000118420.17:s:83022453-83022561_83019136-83022479	NA	NA	chr6:83019136-83022479	3343	-	ENST00000369747.8|ENST00000237186.10|ENST00000509102.5|ENST00000430071.6|ENST00000369746.2	ENSE00003568689.1|ENSE00003656867.1|ENSE00003571800.1|ENSE00001450776.2	8|9	ENSG00000118420.17	-	ENST00000509102.5	ENSE00002067836.1	7	ENSG00000118420.17	ENSG00000118420.17	TRUE	annotated
chr2	19953978	19966724	12747	-	WDR35	ENSG00000118965.16	ENSG00000118965.16:t:19953834-19953978	0.1634	0.7858	0.01328	0.0307	0.2184	t|1e1.1o1|1e2.1o1|i	3	3	0	ENSG00000118965.16:t:19953834-19953978_19953978-19966724	19953979	19960553	chr2:19953978-19966724	12746	-	ENST00000281405.9|ENST00000345530.8|ENST00000445063.5|ENST00000414212.5	ENSE00003668703.1|ENSE00003582819.1	12|13|6	ENSG00000118965.16	-	ENST00000281405.9|ENST00000345530.8|ENST00000445063.5|ENST00000414212.5	ENSE00003671402.1	10|5	ENSG00000118965.16	ENSG00000118965.16	TRUE	annotated
chr14	75959345	75960814	1470	-	TGFB3	ENSG00000119699.8	ENSG00000119699.8:s:75960814-75961076	0.1992	1	2.803e-20	0.0051	0.2215	s|1e1.1o1|1e2.1o1|2e2.1o1|i	4	3	1	ENSG00000119699.8:s:75960814-75961076_75959345-75960814	NA	NA	chr14:75959345-75960814	1469	-	ENST00000238682.8|ENST00000554980.5|ENST00000556674.2|ENST00000556507.1	ENSE00002526160.2|ENSE00000999517.1|ENSE00003901545.1|ENSE00002518360.1	7|4|8|3	ENSG00000119699.8						ENSG00000119699.8	FALSE	novel_donor
